coupon_id,coupon_code,coupon_name,discount_type,discount_value,min_order_value,max_discount,start_date,end_date,usage_limit,is_active
143,WEEKEND954,WEEKEND,Flat,125,299,125,2026-06-23,2027-02-12,30435,1
144,FESTIVE295,FESTIVE,Percentage,50,399,100,2025-07-10,2026-09-10,27693,1
145,RAINY373,RAINY,Percentage,20,399,400,2025-02-02,2026-10-21,38965,0
146,HUNGRY557,HUNGRY,Flat,100,399,100,2024-09-12,2026-12-04,36670,0
147,SUMMER429,SUMMER,Percentage,40,599,150,2024-08-10,2027-03-11,25598,1
148,WEEKEND144,WEEKEND,Flat,200,499,200,2025-09-28,2026-10-23,46717,0
149,FESTIVE779,FESTIVE,Percentage,25,299,100,2025-10-25,2026-10-19,33418,1
150,FOODIE995,FOODIE,Flat,50,599,50,2024-07-30,2026-08-22,30445,1
151,HUNGRY519,HUNGRY,Percentage,10,399,250,2026-01-25,2027-03-28,22687,0
152,SUPER972,SUPER,Flat,250,799,250,2024-09-08,2026-10-22,35471,0
153,TREAT741,TREAT,Flat,250,599,250,2024-09-15,2027-07-12,2852,1
154,LUNCH746,LUNCH,Flat,75,799,75,2024-08-18,2027-06-24,6423,0
155,FOODIE878,FOODIE,Percentage,25,799,150,2025-04-07,2026-08-22,20125,1
156,SAVEBIG432,SAVEBIG,Percentage,20,399,200,2025-08-28,2026-10-26,28725,1
157,LUNCH643,LUNCH,Flat,150,799,150,2025-02-26,2027-04-11,12300,1
158,MEAL180,MEAL,Flat,150,799,150,2025-08-06,2026-10-17,16283,0
159,FLASH246,FLASH,Percentage,25,399,400,2025-09-16,2026-09-15,30618,1
160,WELCOME923,WELCOME,Flat,100,799,100,2026-02-06,2027-07-24,36321,1
161,SUPER552,SUPER,Flat,150,399,150,2026-06-10,2027-03-04,42373,0
162,BREAKFAST567,BREAKFAST,Flat,75,499,75,2025-10-15,2027-01-25,32167,1
163,LUNCH490,LUNCH,Flat,150,399,150,2025-01-29,2027-05-26,46327,1
164,WELCOME949,WELCOME,Flat,100,199,100,2025-07-27,2027-06-04,37588,1
165,GOAT863,GOAT,Flat,250,399,250,2025-06-06,2026-10-07,15581,1
166,LUNCH751,LUNCH,Percentage,30,799,200,2024-10-06,2026-09-01,47746,1
167,FOODIE742,FOODIE,Percentage,20,499,500,2025-12-18,2027-01-09,2686,1
168,HUNGRY192,HUNGRY,Flat,100,799,100,2025-04-26,2027-01-06,27730,1
169,DINNER235,DINNER,Flat,150,599,150,2025-06-09,2027-01-23,18360,1
170,BREAKFAST944,BREAKFAST,Flat,250,399,250,2026-05-26,2027-05-05,49426,1
171,FOODIE579,FOODIE,Percentage,15,299,500,2024-09-05,2027-04-13,44823,0
172,HAPPY474,HAPPY,Percentage,50,199,250,2025-12-14,2027-04-02,17831,1
173,SUMMER477,SUMMER,Flat,150,499,150,2024-10-09,2026-08-18,42347,1
174,FOODIE791,FOODIE,Percentage,25,599,100,2025-06-02,2027-05-04,37292,1
175,GOAT326,GOAT,Percentage,40,499,500,2025-04-14,2027-06-01,46445,1
176,WEEKEND219,WEEKEND,Percentage,10,399,100,2026-05-25,2026-09-06,32784,1
177,FOODIE340,FOODIE,Percentage,25,399,250,2025-02-03,2026-10-08,44440,0
178,FLASH860,FLASH,Percentage,25,199,400,2024-12-19,2027-02-19,32569,0
179,BREAKFAST133,BREAKFAST,Flat,75,499,75,2025-07-08,2026-09-18,29643,1
180,SPECIAL201,SPECIAL,Flat,150,799,150,2025-06-17,2026-10-05,24006,1
181,FESTIVE382,FESTIVE,Percentage,10,499,500,2025-02-26,2027-01-21,6507,1
182,GOAT121,GOAT,Percentage,50,299,200,2025-02-04,2027-06-30,8752,1
183,SUPER949,SUPER,Percentage,30,299,150,2024-09-21,2027-01-14,22032,1
184,GOAT102,GOAT,Flat,250,299,250,2026-04-13,2027-06-25,9019,1
185,MEAL212,MEAL,Percentage,15,399,100,2026-05-20,2027-02-24,16093,1
186,WELCOME278,WELCOME,Flat,50,299,50,2024-10-09,2026-08-14,49109,0
187,RAINY216,RAINY,Percentage,25,399,250,2025-12-13,2027-02-20,34135,1
188,SUMMER615,SUMMER,Percentage,30,799,100,2026-05-05,2026-07-31,43681,1
189,SUMMER758,SUMMER,Percentage,10,499,250,2024-10-05,2027-07-20,28436,1
190,WINTER829,WINTER,Flat,50,199,50,2026-03-02,2027-06-20,21609,1
191,SUPER229,SUPER,Flat,150,799,150,2025-01-24,2026-09-28,38862,1
192,FESTIVE711,FESTIVE,Flat,125,599,125,2025-06-05,2027-01-30,40177,0
193,FOODIE912,FOODIE,Percentage,50,799,400,2025-08-02,2026-10-17,36632,1
194,WEEKEND562,WEEKEND,Percentage,25,499,200,2026-05-27,2026-12-28,26631,0
195,FOODIE420,FOODIE,Flat,100,799,100,2026-06-25,2026-08-17,17204,1
196,HUNGRY803,HUNGRY,Flat,50,199,50,2024-11-29,2026-12-20,6094,1
197,WEEKEND198,WEEKEND,Flat,250,299,250,2024-07-26,2026-12-24,36962,1
198,FLASH675,FLASH,Flat,200,199,200,2025-02-15,2027-07-20,27422,1
199,WEEKEND988,WEEKEND,Percentage,20,399,300,2026-03-26,2027-05-26,23545,1
200,FLASH619,FLASH,Percentage,15,499,400,2025-07-13,2026-11-13,15196,1
201,SPECIAL965,SPECIAL,Flat,50,399,50,2025-06-18,2027-04-22,38124,1
202,WEEKEND965,WEEKEND,Percentage,30,799,400,2026-02-12,2027-05-26,18027,1
203,MEAL379,MEAL,Flat,100,399,100,2025-09-29,2027-04-09,900,1
204,HUNGRY679,HUNGRY,Flat,50,299,50,2026-02-03,2027-01-31,49060,1
205,SUPER864,SUPER,Percentage,25,499,250,2024-11-22,2026-10-07,22840,1
206,SPECIAL419,SPECIAL,Flat,250,599,250,2025-03-12,2026-10-18,39574,1
207,SAVEBIG259,SAVEBIG,Percentage,50,199,300,2024-09-08,2027-03-07,44669,1
208,BREAKFAST553,BREAKFAST,Flat,125,599,125,2026-02-16,2027-02-21,29469,0
209,BREAKFAST320,BREAKFAST,Percentage,20,199,250,2024-09-10,2027-05-12,19062,0
210,RAINY783,RAINY,Flat,50,299,50,2025-03-25,2026-08-17,26403,1
211,WELCOME309,WELCOME,Flat,75,299,75,2024-09-01,2027-03-09,17245,1
212,TREAT222,TREAT,Percentage,25,499,400,2025-07-30,2027-02-06,12014,1
213,FESTIVE645,FESTIVE,Percentage,30,799,300,2026-05-18,2027-02-17,23710,1
214,FESTIVE982,FESTIVE,Percentage,25,499,100,2024-11-24,2026-08-17,5602,1
215,FLASH539,FLASH,Flat,200,799,200,2025-08-23,2026-08-26,27873,1
216,FOODIE514,FOODIE,Percentage,20,599,150,2026-05-17,2026-10-06,30652,1
217,SUPER547,SUPER,Percentage,15,599,250,2024-09-16,2027-03-14,26743,1
218,FESTIVE991,FESTIVE,Flat,200,399,200,2024-09-15,2027-04-14,15020,1
219,MEAL178,MEAL,Percentage,30,299,300,2026-05-25,2026-10-25,23396,1
220,HUNGRY341,HUNGRY,Percentage,15,299,200,2025-06-03,2026-09-10,11870,1
221,SUPER281,SUPER,Flat,125,599,125,2026-06-16,2027-03-04,38476,0
222,FLASH758,FLASH,Flat,250,799,250,2025-02-01,2027-03-07,21218,1
223,SUMMER169,SUMMER,Flat,125,799,125,2025-10-29,2026-08-10,20345,1
224,FLASH157,FLASH,Flat,150,199,150,2025-11-18,2026-08-26,20842,0
225,SUMMER138,SUMMER,Percentage,20,399,500,2025-06-15,2027-04-07,5528,1
226,GOAT708,GOAT,Flat,125,599,125,2025-10-21,2027-03-02,36827,1
227,SUMMER929,SUMMER,Percentage,20,499,300,2025-09-04,2026-11-25,33357,1
228,SAVEBIG561,SAVEBIG,Percentage,50,399,500,2025-02-12,2026-10-13,47313,1
229,RAINY761,RAINY,Percentage,10,799,150,2025-12-27,2027-04-30,29188,0
230,RAINY635,RAINY,Percentage,20,399,200,2025-03-26,2026-10-26,25889,0
231,TREAT795,TREAT,Percentage,50,799,400,2025-02-16,2026-12-26,22431,1
232,TREAT196,TREAT,Flat,100,399,100,2024-11-03,2027-04-12,47930,1
233,TREAT183,TREAT,Percentage,20,799,200,2025-12-08,2026-11-19,46275,0
234,HUNGRY709,HUNGRY,Percentage,20,499,300,2025-07-15,2026-11-25,42671,1
235,HUNGRY786,HUNGRY,Percentage,40,499,400,2026-02-28,2027-07-24,33824,1
236,WELCOME471,WELCOME,Flat,75,299,75,2024-09-19,2026-07-29,22895,0
237,DINNER331,DINNER,Percentage,15,399,100,2025-07-15,2027-03-24,7128,1
238,TREAT997,TREAT,Percentage,30,299,250,2025-10-05,2026-09-02,11133,1
239,GOAT928,GOAT,Percentage,40,199,250,2024-09-19,2027-02-19,27426,1
240,LUNCH554,LUNCH,Flat,250,799,250,2025-01-06,2027-02-07,29920,1
241,HAPPY344,HAPPY,Flat,250,499,250,2025-02-15,2026-09-15,13215,1
242,FLASH551,FLASH,Flat,250,399,250,2025-04-22,2027-07-03,25526,0
243,MEAL936,MEAL,Percentage,50,299,300,2024-09-16,2027-07-02,16884,1
244,WINTER995,WINTER,Flat,150,199,150,2025-01-30,2026-12-16,47122,1
245,FAST185,FAST,Percentage,20,599,250,2025-03-03,2026-09-25,10156,0
246,SUPER327,SUPER,Flat,100,199,100,2025-06-30,2027-06-14,27690,1
247,FESTIVE614,FESTIVE,Flat,75,499,75,2025-09-19,2027-04-25,5848,1
248,LUNCH128,LUNCH,Flat,50,799,50,2025-03-16,2027-03-20,43095,1
249,HUNGRY240,HUNGRY,Percentage,20,499,500,2026-04-12,2027-04-05,46117,1
250,WINTER559,WINTER,Percentage,10,399,100,2025-09-08,2026-07-29,14633,1
251,HAPPY844,HAPPY,Flat,50,399,50,2025-12-25,2027-06-08,16073,1
252,FOODIE148,FOODIE,Percentage,25,599,400,2025-09-28,2026-11-19,30457,1
253,FOODIE956,FOODIE,Flat,150,599,150,2025-12-22,2026-09-04,1577,1
254,HUNGRY398,HUNGRY,Flat,50,599,50,2026-06-07,2026-09-16,23622,1
255,FLASH526,FLASH,Percentage,40,199,400,2025-02-15,2026-09-08,34807,1
256,SUPER638,SUPER,Percentage,25,499,500,2026-06-16,2026-09-05,3353,0
257,SPECIAL359,SPECIAL,Percentage,20,199,500,2026-02-21,2027-02-25,23096,1
258,FOODIE890,FOODIE,Flat,75,199,75,2024-11-22,2026-11-08,23588,1
259,MEAL950,MEAL,Flat,200,499,200,2025-02-28,2027-03-17,41901,1
260,HUNGRY164,HUNGRY,Flat,50,399,50,2025-01-04,2027-04-30,13711,1
261,DINNER142,DINNER,Flat,100,599,100,2025-04-17,2026-10-13,26598,0
262,BREAKFAST137,BREAKFAST,Percentage,20,199,200,2026-01-09,2027-03-29,43474,1
263,BREAKFAST227,BREAKFAST,Flat,125,499,125,2026-05-18,2026-11-05,49213,0
264,FESTIVE447,FESTIVE,Percentage,25,499,400,2025-08-21,2027-01-31,24574,1
265,SUPER844,SUPER,Flat,50,499,50,2025-02-05,2027-07-12,39982,1
266,HAPPY400,HAPPY,Flat,50,199,50,2026-05-13,2026-08-14,21990,1
267,FAST556,FAST,Flat,75,799,75,2024-10-04,2027-03-29,29591,1
268,SUMMER143,SUMMER,Flat,150,499,150,2025-06-19,2027-06-13,18493,1
269,SUPER787,SUPER,Flat,100,599,100,2025-02-24,2026-08-12,49645,1
270,WELCOME246,WELCOME,Flat,50,299,50,2024-07-27,2026-12-02,4906,1
271,SPECIAL470,SPECIAL,Flat,150,199,150,2026-03-15,2026-09-14,40155,1
272,SUMMER479,SUMMER,Flat,125,199,125,2025-12-01,2026-11-04,38112,1
273,RAINY475,RAINY,Flat,100,799,100,2024-11-27,2027-05-09,18764,1
274,FOODIE126,FOODIE,Percentage,25,499,300,2025-07-03,2027-02-25,37309,1
275,BREAKFAST893,BREAKFAST,Flat,200,499,200,2026-01-24,2027-01-08,14562,1
276,WINTER304,WINTER,Percentage,15,199,500,2025-10-03,2026-07-29,30125,1
277,SUMMER189,SUMMER,Flat,200,399,200,2024-10-19,2026-08-24,47000,1
278,HAPPY655,HAPPY,Flat,100,299,100,2026-06-10,2027-04-20,47149,1
279,SPECIAL620,SPECIAL,Percentage,10,299,150,2024-11-17,2027-02-22,16014,0
280,WELCOME469,WELCOME,Flat,125,599,125,2024-08-21,2027-06-15,9004,1
281,SUPER416,SUPER,Flat,200,799,200,2025-05-07,2027-03-09,31869,0
282,WEEKEND943,WEEKEND,Percentage,15,799,200,2025-09-27,2026-09-21,5360,0
283,SUMMER796,SUMMER,Flat,75,599,75,2025-06-23,2026-09-13,42429,1
284,HUNGRY543,HUNGRY,Percentage,50,599,100,2024-08-26,2026-11-22,10528,1
285,MEAL265,MEAL,Flat,200,299,200,2025-05-04,2027-07-10,23176,1
286,SUPER356,SUPER,Percentage,40,399,300,2026-04-04,2027-06-25,8703,1
287,GOAT646,GOAT,Percentage,30,299,400,2024-08-24,2027-07-10,39284,1
288,MEAL774,MEAL,Flat,250,599,250,2025-04-28,2026-10-15,3199,1
289,SUPER146,SUPER,Flat,200,299,200,2026-01-05,2026-10-30,37995,0
290,GOAT754,GOAT,Percentage,25,599,400,2025-12-25,2026-09-03,19483,1
291,WINTER350,WINTER,Flat,100,499,100,2025-04-25,2027-05-24,5282,1
292,MEAL550,MEAL,Flat,125,499,125,2025-10-02,2027-07-04,13870,1
293,GOAT247,GOAT,Flat,250,799,250,2026-06-04,2026-12-30,21426,1
294,FESTIVE233,FESTIVE,Flat,150,599,150,2025-11-19,2027-05-13,7458,1
295,LUNCH577,LUNCH,Percentage,20,299,250,2024-11-22,2027-07-20,9732,1
296,SAVEBIG397,SAVEBIG,Flat,250,599,250,2025-01-24,2027-06-26,27902,1
297,MEAL933,MEAL,Flat,150,799,150,2024-11-28,2027-06-01,20994,1
298,MEAL610,MEAL,Flat,125,399,125,2026-04-15,2026-10-02,33095,1
299,SUPER502,SUPER,Flat,75,299,75,2026-06-09,2027-01-02,38730,1
300,SAVEBIG151,SAVEBIG,Flat,125,599,125,2024-08-13,2026-10-03,43377,0
301,FAST649,FAST,Percentage,50,499,100,2026-02-17,2027-07-20,9277,1
302,SPECIAL882,SPECIAL,Flat,100,199,100,2025-04-09,2027-05-25,26752,1
303,FLASH675,FLASH,Percentage,20,399,300,2025-06-09,2027-06-02,5318,0
304,RAINY561,RAINY,Flat,250,599,250,2025-12-27,2027-06-26,45090,1
305,HUNGRY199,HUNGRY,Flat,100,399,100,2026-02-15,2027-06-05,37058,1
306,HUNGRY303,HUNGRY,Flat,150,199,150,2025-02-02,2026-11-06,3469,1
307,HUNGRY830,HUNGRY,Flat,250,499,250,2024-11-25,2027-05-27,34534,0
308,HUNGRY720,HUNGRY,Percentage,20,399,300,2026-01-20,2026-09-05,11149,0
309,GOAT857,GOAT,Flat,150,399,150,2025-05-18,2027-06-29,33747,0
310,FLASH406,FLASH,Flat,250,199,250,2024-08-24,2027-06-24,24640,1
311,FOODIE526,FOODIE,Flat,250,799,250,2025-07-25,2026-10-20,45591,1
312,GOAT585,GOAT,Flat,200,599,200,2024-12-27,2027-06-08,38355,1
