review_id,order_id,customer_id,restaurant_id,restaurant_rating,food_rating,delivery_rating,overall_rating,review_text,review_date
40,243344,284039,48018,3.7,4.8,2,3.5,Decent food quality,7/23/2024
41,833136,316497,20983,1.5,3.3,1.1,2,Poor food quality,4/5/2025
42,626714,491241,25610,3.9,4.3,2.5,3.6,Food was okay,12/10/2023
43,977053,323589,23124,3,2.6,4.8,3.5,Food was okay,11/2/2026
44,1352957,311692,34731,3.6,4,1.7,3.1,Average experience,7/31/2024
45,55786,114703,16099,1.3,2.6,2.2,2,Late delivery experience,3/7/2026
46,751361,167953,49783,3.4,1.2,3.1,2.6,Service was normal,1/19/2024
47,1991329,276915,7661,3.5,2.1,4,3.2,Average experience,6/19/2025
48,1081658,378187,21965,3.2,4.4,1.3,3,Service was normal,3/2/2025
49,1288179,260592,32710,4,4.4,3.6,4,Fresh food and good packaging,1/21/2024
50,1621180,283999,24908,2.1,1.3,4.3,2.6,Decent food quality,1/31/2025
51,1506962,409649,39180,4.2,3,2.2,3.1,Decent food quality,7/27/2024
52,916191,16948,23291,2.2,3,2,2.4,Packaging was damaged,8/26/2026
53,845987,79591,24033,1.2,1.9,2.2,1.8,Late delivery experience,12/13/2024
54,867887,77627,8194,1.9,2.4,3.3,2.5,Poor food quality,12/15/2026
55,47316,383842,36112,2.2,4.8,3,3.3,Service was normal,5/21/2026
56,1391569,65516,23646,3.5,1.3,4.9,3.2,Could be improved,4/24/2026
57,14692,453239,41388,3.3,2.8,3.8,3.3,Average experience,10/4/2024
58,1727265,446470,40710,1.9,2.3,3.7,2.6,Could be improved,7/17/2023
59,1670934,315689,40740,4,4.5,3.2,3.9,Food was okay,4/6/2023
60,1287373,433545,12308,2.9,2.1,1.9,2.3,Food was cold,8/21/2025
61,486561,232049,19472,1.8,2.7,3.8,2.8,Food was okay,11/10/2026
62,142918,126454,16917,2.5,2.5,1.8,2.3,Taste was not good,11/5/2025
63,443829,63066,21066,3,3.1,1,2.4,Late delivery experience,5/8/2025
64,1033633,337691,9102,3.2,4.9,4.9,4.3,"Amazing taste, will order again",11/7/2024
65,1091642,123106,1642,1.5,1.1,4.1,2.2,Packaging was damaged,8/25/2026
66,1803936,136102,33088,5,3.5,4.7,4.4,Excellent food and fast delivery,5/27/2024
67,100537,146830,46669,3.7,1.7,3.2,2.9,Could be improved,2/15/2024
68,1948652,374547,6213,3.6,2.1,4,3.2,Service was normal,11/15/2025
69,937483,119635,40714,4.2,1.6,4.9,3.6,Average experience,8/12/2024
70,279234,302397,7087,3,1.5,4.3,2.9,Decent food quality,9/2/2025
71,1533723,439426,13147,4.9,2.2,2.6,3.2,Average experience,11/15/2023
72,461075,295082,11438,2.3,1.7,4.9,3,Could be improved,4/23/2026
73,1061626,117268,20368,2.9,1.9,1.1,2,Late delivery experience,3/27/2026
74,1539978,425802,39309,2.4,3,3.8,3.1,Decent food quality,2/8/2023
75,521164,251858,11950,2.8,3.9,1.1,2.6,Average experience,7/29/2023
76,1356818,417325,20922,1.6,2.4,4.7,2.9,Could be improved,6/7/2026
77,476780,345034,47004,1.2,2.2,1.5,1.6,Food was cold,9/18/2026
78,7998,269282,43002,5,2.5,3.9,3.8,Decent food quality,9/5/2026
79,414464,282236,16620,2,4.7,3.6,3.4,Decent food quality,6/9/2024
80,1787864,296127,38615,3.5,1.1,2.1,2.2,Packaging was damaged,7/24/2024
81,1764152,324322,20017,3.9,3.4,3.9,3.7,Average experience,11/6/2026
82,112738,348185,36845,4.5,3.9,2.4,3.6,Average experience,8/1/2026
83,1715695,235730,32222,3.2,2.3,1.2,2.2,Food was cold,9/3/2025
84,1043691,141800,34162,1.9,2.8,4.2,3,Could be improved,7/19/2025
85,401533,373746,8559,2.1,2.5,1.9,2.2,Not satisfied with service,7/31/2025
86,675518,46036,45697,4.2,1.7,3.1,3,Average experience,8/14/2026
87,1573950,89466,45758,2.3,3,1.6,2.3,Food was cold,1/28/2026
88,1915065,336286,15648,2.6,3.6,4.3,3.5,Average experience,5/15/2025
89,316433,208832,30470,1.4,3.9,3,2.8,Average experience,11/26/2026
90,543301,60388,28287,3.2,3,4.4,3.5,Decent food quality,1/2/2025
91,1327159,52210,35070,2.2,2.8,1.4,2.1,Poor food quality,3/6/2026
92,466655,437945,11185,4,2.5,4.6,3.7,Service was normal,2/23/2023
93,762796,452692,22116,3.6,2.8,1.6,2.7,Could be improved,2/29/2024
94,1569443,232527,6731,4.5,3.7,1,3.1,Food was okay,9/12/2025
95,777623,410363,7272,3,1.5,3.2,2.6,Service was normal,3/8/2025
96,1111900,3574,7352,4.5,1.5,2,2.7,Average experience,3/15/2024
97,1872907,397538,37936,2.3,2.3,2.8,2.5,Packaging was damaged,11/5/2025
98,1418902,168711,6441,4,3.7,2.4,3.4,Average experience,1/16/2023
99,1547514,476754,25545,1.7,3.2,1.7,2.2,Taste was not good,5/26/2025
100,308125,415986,28815,1.7,2.6,3.9,2.7,Could be improved,5/22/2025
101,1820073,462408,34442,2.9,3.9,2,2.9,Service was normal,4/16/2026
102,465122,365713,35045,3.2,3.3,2.1,2.9,Average experience,3/16/2023
103,702494,186794,41239,1.8,4.4,1.8,2.7,Service was normal,10/19/2023
104,837359,311067,33348,2,1.2,2.5,1.9,Poor food quality,6/19/2023
105,1145046,277404,35717,1.6,2,1.7,1.8,Late delivery experience,1/31/2026
106,576736,99797,29718,2.7,3.4,4.9,3.7,Service was normal,3/27/2026
107,312381,259141,18452,4.9,2.4,1.8,3,Service was normal,6/20/2024
108,497616,36160,38282,1.6,2.3,2.6,2.2,Poor food quality,5/23/2024
109,1114836,73456,23591,4.3,2.1,3.8,3.4,Service was normal,6/8/2025
110,320963,92751,37522,3.9,4.6,4,4.2,Fresh food and good packaging,5/23/2026
111,1103794,493242,26043,4.4,4.1,2.9,3.8,Average experience,2/10/2025
112,1793167,226319,6235,4.6,2.1,1.4,2.7,Service was normal,12/5/2026
113,1149010,321380,532,3.5,2,2.2,2.6,Average experience,10/8/2025
114,297594,401271,42293,4.8,4.9,1,3.6,Average experience,5/9/2023
115,662506,85216,27040,2.1,2.3,2.4,2.3,Late delivery experience,2/25/2025
116,1201654,443067,38239,1.9,1.9,1.6,1.8,Not satisfied with service,9/19/2023
117,1392078,113403,22484,4.2,2.8,3.2,3.4,Could be improved,5/3/2025
118,19736,200755,9462,4.5,3.3,2.1,3.3,Service was normal,12/13/2026
119,204619,293844,21259,2.7,4,4.3,3.7,Service was normal,6/5/2023
120,1703558,390379,7657,2.4,1,4.5,2.6,Decent food quality,6/4/2026
121,710522,181755,41600,2.4,2.7,4.1,3.1,Could be improved,5/12/2026
122,581045,482618,39801,3.6,1.3,3.3,2.7,Could be improved,12/7/2024
123,1575218,390066,10190,5,2,4.2,3.7,Decent food quality,11/22/2024
124,610027,131001,33278,2.7,2.2,2.1,2.3,Packaging was damaged,11/26/2023
125,76028,131930,15426,4,1.2,2.9,2.7,Service was normal,7/31/2025
126,696492,16647,942,3.3,1.7,4.2,3.1,Could be improved,8/18/2026
127,27710,214903,39732,2.3,4.3,3.5,3.4,Service was normal,11/30/2026
128,832093,280601,7419,2.6,1.7,4.4,2.9,Average experience,8/23/2024
129,347706,428374,39570,1.3,2.4,3.5,2.4,Taste was not good,4/30/2024
130,185644,97422,43765,4.8,2.8,2,3.2,Average experience,9/4/2023
131,761289,386710,30227,4.1,4.9,4.6,4.5,Food quality was great,3/11/2025
132,1319387,149689,47013,4.3,4.3,4.4,4.3,Food quality was great,4/21/2023
133,1674184,290069,33582,1.6,2.7,2.2,2.2,Not satisfied with service,8/4/2025
134,101179,255268,3631,1.8,3.2,3.6,2.9,Average experience,1/10/2024
135,906736,68000,48746,2.6,5,1.1,2.9,Could be improved,3/25/2026
136,1482661,481949,38264,4.9,1.1,2.1,2.7,Decent food quality,11/21/2026
137,296883,374699,27558,2.6,1.9,4.9,3.1,Food was okay,4/11/2024
138,700747,265110,15842,5,4.8,1.5,3.8,Average experience,9/26/2024
139,764715,179991,20540,4.3,4.4,1.2,3.3,Could be improved,11/9/2025
140,689189,69816,24583,3.7,2,4.2,3.3,Could be improved,5/12/2024
141,604071,19761,33663,1.3,3.1,4.4,2.9,Decent food quality,6/7/2026
142,1492744,150022,19419,1,2.4,2.5,2,Poor food quality,11/19/2025
143,780793,482914,7719,2,4.6,1.6,2.7,Food was okay,1/11/2023
144,1032463,29920,22623,3.1,1.5,4.7,3.1,Service was normal,4/26/2026
145,1059959,6060,20144,1.9,4.7,3.9,3.5,Average experience,11/19/2023
146,1447948,411553,25191,2.5,3.2,3.4,3,Service was normal,4/24/2025
147,1520084,132341,46013,2.3,1.5,2.6,2.1,Taste was not good,7/18/2023
148,712679,284988,9344,1.3,1.5,4.9,2.6,Service was normal,10/4/2023
149,1905367,96681,13332,2.5,1.4,4.5,2.8,Decent food quality,3/28/2024
150,514695,46357,12102,1,4.2,1.6,2.3,Not satisfied with service,6/5/2026
151,975794,168050,7167,1.3,4.7,4,3.3,Food was okay,11/20/2024
152,1516751,370511,1446,2.9,2.2,3.6,2.9,Average experience,12/6/2026
153,429303,110332,49963,1.2,4.8,2.3,2.8,Food was okay,4/23/2023
154,1310392,206386,37104,2.6,3.2,4,3.3,Food was okay,1/27/2025
155,1678854,369948,12959,3.4,3.6,1.2,2.7,Service was normal,1/20/2025
156,1379652,92198,9358,2.1,2,1.7,1.9,Food was cold,3/6/2024
157,1003290,59835,28759,2.2,2.4,3.3,2.6,Could be improved,11/13/2023
158,683895,390012,12490,5,3.4,1.1,3.2,Food was okay,1/28/2023
159,442914,36675,4962,2,4.1,4.3,3.5,Average experience,4/23/2024
160,687360,378835,35160,1.9,1.4,4.3,2.5,Packaging was damaged,3/31/2026
161,586473,354409,7177,4.5,4.1,3.5,4,"Amazing taste, will order again",3/5/2025
162,1589290,345325,46767,3,4.5,4.2,3.9,Service was normal,5/28/2025
163,492645,318519,4646,2.4,4.2,2.9,3.2,Decent food quality,8/17/2024
164,1445189,294090,34148,1.6,1.7,1,1.4,Packaging was damaged,5/15/2025
165,522389,35961,32731,1.5,1.9,3.5,2.3,Poor food quality,6/5/2025
166,1815304,211129,26906,3.3,4.3,1.9,3.2,Decent food quality,1/2/2024
167,604592,439979,1849,1.3,3.2,4,2.8,Average experience,11/27/2025
168,1141605,168719,27685,3,3.2,5,3.7,Decent food quality,8/17/2024
169,775350,186898,1663,4.3,3.3,2.4,3.3,Service was normal,5/7/2026
170,617987,98156,47279,4,4.1,2.4,3.5,Decent food quality,11/30/2026
171,1625069,185910,8548,3.9,1.7,3.6,3.1,Service was normal,12/7/2023
172,164896,143207,48453,3.2,3.6,4.5,3.8,Could be improved,9/8/2025
173,33625,45027,26248,5,4.4,4.5,4.6,Fresh food and good packaging,1/9/2025
174,185830,185375,32528,2.4,1.9,5,3.1,Could be improved,4/9/2024
175,1967545,324051,14894,2.9,3.9,4.5,3.8,Average experience,4/9/2025
176,1165953,74194,3914,4.8,1.9,3.2,3.3,Could be improved,4/9/2025
177,434018,433299,16723,4,3.5,1.1,2.9,Decent food quality,8/21/2026
178,17425,414899,47546,2.3,4.9,1.2,2.8,Food was okay,12/11/2024
179,1477646,428321,4384,2.6,2.7,4.5,3.3,Average experience,10/11/2025
180,1845185,312932,21535,1.6,1.3,3,2,Poor food quality,5/2/2023
181,1292949,368325,35163,1.9,2.1,1.5,1.8,Taste was not good,10/5/2023
182,786401,45699,1057,3.9,4.1,1.5,3.2,Could be improved,11/25/2026
183,688267,474590,40815,4.5,1.1,4.8,3.5,Average experience,2/9/2025
184,1473491,49566,16614,4.4,4.3,2.1,3.6,Decent food quality,1/29/2023
185,1065939,315156,1657,1.3,4.7,2.5,2.8,Food was okay,4/16/2025
186,1641166,243758,34190,4.6,1.2,1.9,2.6,Could be improved,12/8/2023
187,662209,37057,23555,2.1,2.8,2.7,2.5,Taste was not good,12/22/2024
188,137639,347546,29852,4.6,2.6,1.7,3,Service was normal,4/24/2025
189,724544,305029,44903,4.8,1.3,1.3,2.5,Taste was not good,1/7/2026
190,1176338,130332,14038,1.8,1.8,4.3,2.6,Average experience,4/8/2026
191,415695,353809,28219,4.8,3.3,3.8,4,"Amazing taste, will order again",7/27/2023
192,1166350,231934,49757,2.2,3.7,2.8,2.9,Average experience,7/8/2024
193,1869047,347839,10712,1.3,2.6,4.4,2.8,Could be improved,11/9/2026
194,385584,157067,24527,4.8,1.3,2.5,2.9,Could be improved,4/2/2026
195,32988,251386,43345,1.3,4.3,1.2,2.3,Poor food quality,8/16/2025
196,685212,396419,26058,2.1,3.1,1.5,2.2,Food was cold,1/12/2026
197,576049,181486,42350,4,3.2,4.3,3.8,Food was okay,8/18/2023
198,132280,480299,27244,5,3.9,1.9,3.6,Service was normal,2/9/2026
199,1100603,168812,18186,4.4,1.8,4.4,3.5,Decent food quality,2/5/2023
200,133708,277676,9355,2.6,3.1,2.7,2.8,Average experience,10/29/2025
201,137038,437826,35114,4.5,1,2.6,2.7,Service was normal,8/3/2024
202,32100,350880,46126,2.5,1.1,2,1.9,Food was cold,12/27/2025
203,268076,13331,24419,4.6,5,1.3,3.6,Food was okay,7/11/2023
204,1635756,328208,33620,2.7,2.1,1.2,2,Taste was not good,3/20/2024
205,1813635,264507,35397,2.6,4.9,3.3,3.6,Service was normal,11/17/2023
206,339995,23526,35927,2,1.4,2.5,2,Taste was not good,3/13/2023
207,690569,93725,26358,4.6,1.4,3.4,3.1,Could be improved,12/7/2023
208,1173451,260103,5833,4,2.2,1.6,2.6,Could be improved,11/18/2025
209,661429,207025,44072,3,1.4,1.7,2,Food was cold,8/25/2026
210,237242,46632,25789,3.7,4.5,3.1,3.8,Service was normal,9/16/2023
211,12923,215022,41803,3.9,1.6,4.4,3.3,Decent food quality,1/14/2023
212,672099,185802,24330,1.1,1.3,4.5,2.3,Taste was not good,8/28/2023
213,1003550,152141,30429,3.4,2.1,4.8,3.4,Decent food quality,3/16/2026
214,196513,318641,4157,3.8,3.6,4.1,3.8,Service was normal,5/23/2026
215,1888973,16928,42836,4,3.1,1.3,2.8,Food was okay,8/11/2024
216,1426470,264831,37320,1.4,4.1,2.2,2.6,Decent food quality,10/1/2025
217,421199,36367,22572,2.2,2.6,2.1,2.3,Taste was not good,9/6/2026
218,1486614,494619,6740,2.8,4.3,4.2,3.8,Decent food quality,4/9/2023
219,464241,206006,10499,2.1,1.1,2.1,1.8,Taste was not good,5/29/2024
220,1436514,281287,23969,1.3,1.6,1.5,1.5,Late delivery experience,3/11/2025
221,583709,206822,13099,4.9,4.6,4.5,4.7,Delivery was quick and smooth,6/29/2026
222,391705,319190,9561,2.9,1.1,4,2.7,Average experience,11/12/2026
223,476136,222656,22935,4.9,1.9,4.5,3.8,Food was okay,8/22/2025
224,1881600,470436,20970,2.6,3.7,4.6,3.6,Food was okay,4/24/2026
225,1500152,256699,43106,4,2.7,4.9,3.9,Average experience,2/24/2024
226,1291862,464029,29031,1.6,3.9,3,2.8,Service was normal,1/16/2026
227,149452,112212,4002,1.1,1.7,2.8,1.9,Packaging was damaged,1/22/2026
228,1358722,52337,36422,4.5,2.2,2.4,3,Food was okay,3/27/2023
229,1747352,358085,44675,3.7,3.2,4.7,3.9,Average experience,11/9/2024
230,1721346,190956,15483,3.5,1.5,4.7,3.2,Service was normal,4/17/2025
231,247495,301479,32217,1.5,4.4,2.1,2.7,Food was okay,10/13/2026
232,1190986,154118,17964,4.8,3.9,4.6,4.4,Fresh food and good packaging,12/26/2024
233,385594,397246,28782,3.5,4.9,3,3.8,Food was okay,11/10/2026
234,938454,344146,47808,4.4,3.9,3.1,3.8,Average experience,1/27/2024
235,60406,405552,165,3.2,2.4,4.6,3.4,Average experience,10/19/2023
236,192187,369151,38045,3.2,3.9,4.6,3.9,Average experience,4/20/2026
237,1123468,188631,23658,4.8,3.7,2.8,3.8,Average experience,9/10/2023
238,21901,340393,23238,1.8,2.2,2.5,2.2,Food was cold,8/29/2026
239,307789,477931,31475,2.4,4.7,2.6,3.2,Could be improved,3/12/2024
240,1194027,432093,28443,4.1,3.2,3.2,3.5,Could be improved,9/9/2025
241,1736037,477913,48499,4.2,2.4,1.4,2.7,Food was okay,8/28/2023
242,1635414,362170,3898,1.8,1.7,4.3,2.6,Service was normal,1/11/2023
243,1361442,372125,29261,2.1,3.1,1.4,2.2,Late delivery experience,7/29/2023
244,1199102,433118,13181,1.2,2.6,2.3,2,Poor food quality,3/13/2024
245,794028,110286,32516,4.4,1.2,2.6,2.7,Service was normal,7/24/2023
246,563367,444047,29890,4.5,2.6,2.7,3.3,Average experience,9/12/2024
247,1490054,342330,41728,1.9,4.4,1.9,2.7,Food was okay,8/25/2023
248,1198471,316132,26582,2.2,1.2,1.6,1.7,Packaging was damaged,9/8/2023
249,997042,90668,38235,3.3,4.9,2.1,3.4,Average experience,4/17/2026
250,1484844,203788,44295,3.1,4.1,3.2,3.5,Could be improved,7/24/2026
251,271101,217013,36547,3.6,1.5,1.4,2.2,Late delivery experience,5/3/2025
252,1049928,440286,16747,4,2.8,3.1,3.3,Could be improved,4/9/2025
253,10792,58095,7723,1.2,4.8,4.2,3.4,Service was normal,3/12/2026
254,919181,194444,38421,2.5,4.2,1.2,2.6,Service was normal,10/28/2023
255,1530047,207408,42795,2.4,3.7,3.8,3.3,Food was okay,5/7/2026
256,1123817,33195,25367,3.4,3.6,2,3,Average experience,5/11/2023
257,302521,228044,765,4.7,3.6,3.1,3.8,Food was okay,4/10/2023
258,1783296,416220,21027,3,2.4,4.1,3.2,Food was okay,4/21/2025
259,1447680,292990,28135,1.8,3.7,4.9,3.5,Decent food quality,4/27/2025
260,196929,44813,27507,3.8,2.2,4.9,3.6,Food was okay,2/18/2024
261,680147,18598,9171,4.7,1.4,1.6,2.6,Service was normal,2/21/2024
262,139773,416042,9657,2.9,4,1.2,2.7,Service was normal,1/12/2023
263,1855166,214676,49743,4.3,2.9,3.5,3.6,Decent food quality,6/13/2023
264,509862,427038,17898,4.1,4.3,3,3.8,Decent food quality,4/21/2023
265,1649408,388785,2989,2.8,3.8,4.7,3.8,Service was normal,3/22/2023
266,1678059,296599,47551,3.2,4.4,2.7,3.4,Could be improved,6/16/2026
267,221348,480260,25588,1.8,4.3,2.4,2.8,Food was okay,1/29/2025
268,61811,486438,42839,2.1,5,1.9,3,Decent food quality,11/27/2025
269,588185,11476,31073,5,4,4.9,4.6,"Amazing taste, will order again",6/11/2023
270,106974,385052,47447,2.1,2.9,2.4,2.5,Not satisfied with service,6/29/2026
271,679132,240430,38018,3.3,1.4,2.9,2.5,Food was cold,5/21/2024
272,1531879,268914,25676,1.2,3.4,2.8,2.5,Not satisfied with service,11/11/2023
273,77019,424776,28577,2.4,4.1,3.1,3.2,Average experience,1/27/2026
274,1338032,455122,27706,2.4,1.3,3.1,2.3,Packaging was damaged,11/20/2023
275,1076044,97303,43764,3.3,3.6,3.9,3.6,Decent food quality,4/15/2024
276,1958365,426450,29082,2.2,1.5,3.4,2.4,Poor food quality,8/17/2024
277,1323755,227673,43373,4.3,1.2,4.8,3.4,Service was normal,12/27/2026
278,1351297,317947,41590,4.2,2.3,1.7,2.7,Decent food quality,8/3/2023
279,342192,244488,39016,3,1.2,3.8,2.7,Average experience,11/30/2023
280,1772758,173638,20102,2.8,2.2,4.6,3.2,Decent food quality,7/13/2026
281,1531684,292804,37414,1.3,2.2,4.2,2.6,Could be improved,11/27/2024
282,1682184,328726,48333,4.4,1.1,1.9,2.5,Not satisfied with service,1/16/2024
283,143233,469891,17034,3.4,1.4,4.6,3.1,Could be improved,11/12/2026
284,431328,51400,19643,1.1,1.2,4,2.1,Taste was not good,3/23/2026
285,1458749,319524,19849,2.2,4.9,2,3,Service was normal,9/28/2025
286,667103,499400,36401,4.6,4.3,4.8,4.6,Fresh food and good packaging,11/20/2025
287,114314,363377,21811,2,3.1,2,2.4,Food was cold,10/30/2026
288,667841,189743,16945,4.3,1.8,3.5,3.2,Could be improved,1/29/2023
289,1675999,186779,13845,3.4,3.5,4.4,3.8,Average experience,8/30/2026
290,1905932,39911,31671,1.3,4.9,2.7,3,Could be improved,8/21/2023
291,167990,464139,5729,2.2,2.8,2.3,2.4,Packaging was damaged,7/12/2026
292,1497445,231522,6384,3,3.1,2.7,2.9,Decent food quality,10/27/2026
293,1536894,181528,12196,2,3.4,4.3,3.2,Food was okay,10/11/2024
294,1056938,13671,2990,3.3,4.6,2.1,3.3,Service was normal,3/21/2026
295,1386445,176185,24085,3.5,1.9,4.6,3.3,Decent food quality,2/1/2026
296,179974,457284,19607,1.7,4.3,3.3,3.1,Food was okay,6/2/2025
297,293657,91083,21086,1.3,4.3,3.1,2.9,Decent food quality,12/25/2024
298,790649,447531,23806,4.9,3.1,1.2,3.1,Food was okay,5/3/2026
299,1767761,370132,41837,2.9,4.2,1.9,3,Food was okay,12/13/2026
300,1876637,196356,20684,1.5,3.6,3.7,2.9,Average experience,1/21/2025
301,1970446,191002,49864,4.5,1.9,2.8,3.1,Could be improved,2/19/2024
302,1593768,59406,3555,2.6,4.2,1.8,2.9,Service was normal,10/22/2024
303,1837327,270339,49318,3.2,3.3,4.9,3.8,Food was okay,2/13/2025
304,1258854,55647,34053,1.6,3.2,4.5,3.1,Could be improved,4/30/2026
305,979314,212767,14553,4.6,2.6,3,3.4,Could be improved,12/20/2023
306,1621588,76155,27103,1.9,3.1,4.9,3.3,Food was okay,8/6/2025
307,1923920,123184,6557,3.2,4.1,3.3,3.5,Food was okay,6/18/2024
308,1168257,179662,15641,4.1,4.3,1.9,3.4,Service was normal,7/24/2026
309,1501732,409361,36615,1.2,1.1,3.8,2,Not satisfied with service,8/3/2026
310,327449,186146,49016,2.4,5,4.7,4,Delivery was quick and smooth,8/22/2026
311,1844353,433452,28449,4.3,2.8,4.8,4,Food quality was great,5/21/2023
312,46364,263483,19220,3.4,4.9,2.8,3.7,Decent food quality,5/26/2025
313,1891357,476093,42273,2.4,3.1,2.9,2.8,Service was normal,5/1/2023
314,1025545,167269,41057,4.3,2.4,1.6,2.8,Could be improved,7/5/2026
315,315489,243947,12645,3.7,3.6,3.3,3.5,Decent food quality,3/30/2026
316,453825,85206,11576,3.8,4,3.5,3.8,Food was okay,6/17/2023
317,548743,62024,30740,1.9,3.4,1.6,2.3,Late delivery experience,12/23/2024
318,1448641,430137,7122,4.6,4.6,2.9,4,"Amazing taste, will order again",4/1/2023
319,1637059,287526,23667,1.1,1.8,1.1,1.3,Taste was not good,5/6/2024
320,520018,440015,26570,2.4,4,1.9,2.8,Could be improved,12/2/2025
321,1665781,407016,25627,3.8,4.7,3.3,3.9,Could be improved,11/7/2025
322,989459,286128,41917,4.3,1.1,5,3.5,Average experience,7/11/2026
323,1707744,403395,28394,3.1,2.2,1.8,2.4,Packaging was damaged,10/15/2024
324,1596669,139091,21546,3.1,2.8,3.4,3.1,Average experience,12/21/2026
325,1271429,161790,22500,2.7,2.7,3.3,2.9,Food was okay,10/8/2024
326,1519960,425967,43770,1.9,1.8,5,2.9,Decent food quality,10/24/2025
327,762032,145336,46823,1.5,4.9,2.9,3.1,Average experience,12/1/2025
328,229437,312003,38236,2.3,1.2,4,2.5,Packaging was damaged,9/14/2025
329,307137,101045,35446,2.3,2.5,1.9,2.2,Packaging was damaged,12/25/2025
330,846871,483669,14414,4.1,2.9,2.2,3.1,Decent food quality,7/31/2025
331,1182864,410650,37718,3.3,2.2,3.9,3.1,Service was normal,6/20/2024
332,928295,78681,5493,3.7,3,2,2.9,Decent food quality,10/8/2025
333,382921,304568,28975,3.1,3.9,2.2,3.1,Food was okay,4/10/2023
334,1213976,116630,27120,2.2,2.9,3.3,2.8,Could be improved,4/25/2024
335,114299,255619,37643,1.2,1.8,4.3,2.4,Not satisfied with service,10/22/2023
336,596753,429081,20159,2,3.4,5,3.5,Service was normal,8/20/2025
337,1647636,83695,19177,2.9,3.8,3.6,3.4,Decent food quality,3/13/2026
338,1313453,185589,46528,2.1,1.4,3.2,2.2,Food was cold,3/28/2026
339,135178,279040,39931,1.1,1,2.1,1.4,Late delivery experience,1/25/2024
340,1983407,305456,43843,3.2,2.4,2.4,2.7,Decent food quality,1/12/2026
341,260691,472894,41114,3.3,3.6,3.1,3.3,Food was okay,7/8/2026
342,662320,100186,24208,4.4,4.8,4.6,4.6,Food quality was great,10/22/2024
343,1947693,318152,45746,3.4,2.8,1.8,2.7,Could be improved,6/8/2024
344,1467253,86032,13535,2.6,1.8,3.3,2.6,Average experience,12/1/2025
345,1058483,102211,18435,4.5,1.6,1.1,2.4,Late delivery experience,9/27/2026
